# n*frame_step, dG(n), sigma^2(n), Uncertainty(n) 
480 -7.394868E+00 2.578630E-02 2.227394E-01 
485 -7.404891E+00 2.380706E-02 2.151300E-01 
490 -7.408626E+00 1.977664E-02 1.970820E-01 
495 -7.405985E+00 1.827386E-02 1.904083E-01 
500 -7.401995E+00 2.636669E-02 2.298670E-01 
505 -7.376089E+00 2.004112E-02 2.014031E-01 
510 -7.402021E+00 1.755508E-02 1.894270E-01 
515 -7.386979E+00 1.746782E-02 1.898778E-01 
520 -7.391936E+00 1.618595E-02 1.836614E-01 
525 -7.403483E+00 2.031771E-02 2.067570E-01 
530 -7.397996E+00 1.997899E-02 2.059985E-01 
535 -7.387071E+00 1.638433E-02 1.874247E-01 
540 -7.421822E+00 1.586746E-02 1.853030E-01 
545 -7.397416E+00 1.314499E-02 1.694363E-01 
550 -7.415534E+00 1.444612E-02 1.784355E-01 
555 -7.377077E+00 2.303380E-02 2.263342E-01 
560 -7.406999E+00 1.519668E-02 1.846655E-01 
565 -7.417653E+00 1.633115E-02 1.922855E-01 
570 -7.402950E+00 1.857797E-02 2.059905E-01 
575 -7.411867E+00 1.360730E-02 1.770628E-01 
580 -7.411727E+00 1.175890E-02 1.653109E-01 
585 -7.417485E+00 1.374580E-02 1.794997E-01 
590 -7.399863E+00 1.536788E-02 1.906034E-01 
595 -7.386498E+00 1.423067E-02 1.841899E-01 
600 -7.417995E+00 9.763456E-03 1.532036E-01 
605 -7.399449E+00 1.623801E-02 1.983959E-01 
610 -7.405829E+00 1.480176E-02 1.901986E-01 
615 -7.399162E+00 1.460571E-02 1.897062E-01 
620 -7.411029E+00 1.444322E-02 1.894121E-01 
625 -7.426404E+00 1.229963E-02 1.754943E-01 
630 -7.416932E+00 1.404563E-02 1.882848E-01 
635 -7.399112E+00 1.337499E-02 1.844613E-01 
640 -7.411225E+00 1.100780E-02 1.680000E-01 
645 -7.413325E+00 9.543175E-03 1.570336E-01 
650 -7.406786E+00 8.747351E-03 1.509242E-01 
655 -7.415612E+00 1.084617E-02 1.687019E-01 
660 -7.413755E+00 1.163382E-02 1.753848E-01 
665 -7.411300E+00 8.591414E-03 1.512862E-01 
670 -7.410336E+00 9.961554E-03 1.635139E-01 
675 -7.412456E+00 9.873259E-03 1.633931E-01 
680 -7.421870E+00 5.961456E-03 1.274324E-01 
685 -7.409961E+00 1.191074E-02 1.807846E-01 
690 -7.413830E+00 8.421212E-03 1.525655E-01 
695 -7.402326E+00 8.744910E-03 1.560315E-01 
700 -7.405025E+00 1.000789E-02 1.675175E-01 
705 -7.395214E+00 7.894865E-03 1.493154E-01 
710 -7.410045E+00 8.106007E-03 1.518337E-01 
715 -7.403206E+00 6.394416E-03 1.353278E-01 
720 -7.415120E+00 7.925087E-03 1.511818E-01 
725 -7.390775E+00 9.833800E-03 1.689892E-01 
730 -7.405437E+00 7.054331E-03 1.436206E-01 
735 -7.401386E+00 6.379127E-03 1.370407E-01 
740 -7.418442E+00 6.057360E-03 1.339926E-01 
745 -7.405579E+00 6.254349E-03 1.366125E-01 
750 -7.415085E+00 6.283751E-03 1.373914E-01 
755 -7.418254E+00 6.200642E-03 1.369334E-01 
760 -7.415897E+00 5.216326E-03 1.260099E-01 
765 -7.405557E+00 7.763082E-03 1.542274E-01 
770 -7.420166E+00 4.961972E-03 1.237042E-01 
775 -7.410468E+00 4.790516E-03 1.219416E-01 
780 -7.414512E+00 8.191927E-03 1.599737E-01 
785 -7.405287E+00 6.734345E-03 1.455087E-01 
790 -7.405964E+00 5.606184E-03 1.331840E-01 
795 -7.404934E+00 4.642972E-03 1.215863E-01 
800 -7.406882E+00 6.203579E-03 1.409832E-01 
805 -7.406958E+00 6.955099E-03 1.497439E-01 
810 -7.412121E+00 5.415844E-03 1.325481E-01 
815 -7.409563E+00 5.111192E-03 1.291624E-01 
820 -7.406642E+00 4.750393E-03 1.249011E-01 
825 -7.410376E+00 3.950642E-03 1.142494E-01 
830 -7.400008E+00 3.372903E-03 1.058845E-01 
835 -7.397584E+00 4.976396E-03 1.290003E-01 
840 -7.409647E+00 4.064366E-03 1.169296E-01 
845 -7.413445E+00 3.245486E-03 1.047985E-01 
850 -7.403147E+00 4.540211E-03 1.243176E-01 
855 -7.396343E+00 3.703273E-03 1.126055E-01 
860 -7.411084E+00 3.631378E-03 1.118323E-01 
865 -7.424210E+00 2.073262E-03 8.474539E-02 
870 -7.404746E+00 2.966678E-03 1.016657E-01 
875 -7.408200E+00 2.800871E-03 9.906690E-02 
880 -7.407356E+00 4.076226E-03 1.198525E-01 
885 -7.412549E+00 2.442116E-03 9.303150E-02 
890 -7.410450E+00 2.398817E-03 9.246288E-02 
895 -7.414045E+00 2.092313E-03 8.659589E-02 
900 -7.420243E+00 1.706992E-03 7.843469E-02 
905 -7.410682E+00 2.493505E-03 9.506031E-02 
910 -7.412296E+00 2.150377E-03 8.852103E-02 
915 -7.419265E+00 1.504017E-03 7.423421E-02 
920 -7.409832E+00 2.029860E-03 8.647546E-02 
925 -7.409485E+00 1.740612E-03 8.029463E-02 
930 -7.416500E+00 1.554958E-03 7.609640E-02 
935 -7.408489E+00 1.510240E-03 7.519534E-02 
940 -7.414328E+00 1.198075E-03 6.715320E-02 
945 -7.413204E+00 1.266690E-03 6.923260E-02 
950 -7.409545E+00 1.610461E-03 7.827001E-02 
955 -7.412561E+00 1.213917E-03 6.813237E-02 
960 -7.411972E+00 8.323679E-04 5.656520E-02 
965 -7.415275E+00 6.581817E-04 5.043029E-02 
970 -7.412824E+00 4.561050E-04 4.208933E-02 
975 -7.414549E+00 5.314538E-04 4.554992E-02 
980 -7.414329E+00 4.325060E-04 4.119652E-02 
985 -7.416301E+00 1.365198E-04 2.320418E-02 
990 -7.414951E+00 2.122091E-04 2.900339E-02 
995 -7.413900E+00 9.105260E-05 1.904609E-02 
999 -7.414398E+00 0.000000E+00 0.000000E+00 
# alpha and beta::  -8.653228E+00  1.926316E+01 
# estimated dG upper bond:: -8.653228E+00 
# Last error is highly underestimated because there is only one block! 
# max. error::  2.862960E+00 
